method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,0,2,9.348418,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,1,0,8.991313,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,1,1,8.958318,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,1,2,11.01954,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,2,0,8.193134,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,2,1,11.472904,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,2,2,9.124313,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,3,0,10.157976,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,3,1,9.212013,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,3,2,9.320085,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,4,0,10.293371,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,4,1,9.408462,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,4,2,10.166399,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
